No,분류,분류,분류,2019년 1월,2019년 2월,2019년 3월,2019년 4월,2019년 5월,2019년 6월,2019년 7월,2019년 8월,2019년 9월,2019년 10월,2019년 11월,2019년 12월,2020년 1월,2020년 2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월,2020년 10월,2020년 11월,2020년 12월,2021년 1월,2021년 2월,2021년 3월,2021년 4월,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월
No,분류,분류,분류,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격
9,서울,강북지역,강북지역,"""533,192""","""532,581""","""531,956""","""531,441""","""531,178""","""531,274""","""531,894""","""532,915""","""534,062""","""536,323""","""538,646""","""541,480""","""561,812""","""563,241""","""564,535""","""565,581""","""565,499""","""566,329""","""570,884""","""573,569""","""575,414""","""576,484""","""577,698""","""579,562""","""581,708""","""585,110""","""587,448""","""589,426""","""591,596""","""595,410""","""722,784""","""727,803""","""732,410""","""737,250""","""740,989""","""742,406""","""742,430""","""742,139""","""741,699""","""742,018""","""742,446""","""742,070""","""740,861""","""738,420""","""734,092""","""727,708""","""716,878""","""699,282""","""682,553""","""677,328""","""672,953""","""670,093""","""668,984""","""669,255""","""671,001""","""673,655""","""676,533""","""678,955""","""680,154""","""680,042""","""681,550""","""680,917""","""681,572""","""682,549""","""683,966""","""687,791""","""694,769""","""702,004""","""706,940""","""710,086""","""712,097""","""712,946"""
10,서울,강북지역,도심권,"""839,282""","""838,492""","""837,925""","""837,302""","""837,305""","""837,742""","""837,736""","""839,290""","""841,379""","""845,272""","""849,340""","""853,903""","""882,130""","""883,977""","""885,462""","""886,509""","""886,165""","""887,388""","""892,084""","""895,588""","""898,143""","""899,793""","""901,521""","""904,329""","""906,995""","""910,766""","""913,059""","""915,467""","""918,297""","""922,177""","""949,013""","""954,866""","""961,477""","""970,042""","""977,202""","""979,759""","""980,038""","""979,324""","""977,671""","""978,838""","""980,256""","""981,039""","""980,527""","""979,185""","""974,765""","""967,974""","""957,612""","""939,788""","""924,865""","""920,053""","""914,931""","""912,166""","""911,873""","""911,836""","""915,761""","""919,228""","""923,060""","""927,841""","""930,393""","""930,644""","""944,698""","""944,555""","""945,347""","""947,192""","""949,943""","""956,047""","""966,776""","""976,083""","""982,889""","""988,161""","""992,263""","""994,269"""
11,서울,강북지역,동북권,"""481,041""","""480,487""","""479,807""","""479,250""","""478,838""","""478,705""","""479,102""","""480,024""","""481,235""","""482,973""","""484,926""","""487,412""","""501,003""","""502,339""","""503,668""","""505,233""","""505,291""","""506,159""","""510,646""","""513,229""","""514,924""","""515,737""","""516,871""","""518,497""","""520,429""","""523,738""","""526,193""","""528,211""","""530,380""","""534,171""","""680,094""","""685,843""","""689,991""","""693,463""","""695,868""","""696,993""","""696,990""","""696,679""","""696,425""","""696,585""","""696,922""","""696,906""","""695,650""","""693,173""","""689,149""","""682,654""","""670,819""","""653,004""","""634,976""","""629,721""","""625,313""","""622,282""","""621,121""","""621,476""","""622,531""","""625,180""","""628,031""","""630,156""","""631,202""","""631,259""","""630,968""","""630,303""","""630,387""","""631,038""","""632,129""","""635,351""","""641,198""","""647,984""","""652,556""","""655,166""","""656,755""","""657,430"""
12,서울,강북지역,서북권,"""530,370""","""529,693""","""529,181""","""528,819""","""528,820""","""529,343""","""530,801""","""531,842""","""532,412""","""535,277""","""537,766""","""540,720""","""573,391""","""574,868""","""575,987""","""575,716""","""575,397""","""575,955""","""580,619""","""583,200""","""585,108""","""586,572""","""587,761""","""589,808""","""592,265""","""595,738""","""597,798""","""599,484""","""601,364""","""605,209""","""665,251""","""668,575""","""672,861""","""678,510""","""683,144""","""684,477""","""684,452""","""684,387""","""684,268""","""684,491""","""684,586""","""683,090""","""681,660""","""678,769""","""674,008""","""668,333""","""659,863""","""643,407""","""632,292""","""627,018""","""623,254""","""620,838""","""619,470""","""619,844""","""621,657""","""623,909""","""626,428""","""628,110""","""628,847""","""628,130""","""627,770""","""626,950""","""628,445""","""629,634""","""630,973""","""634,806""","""642,050""","""648,879""","""653,427""","""656,487""","""658,257""","""658,826"""
13,서울,강남지역,강남지역,"""757,329""","""753,796""","""750,593""","""748,604""","""747,635""","""747,494""","""749,006""","""750,633""","""752,868""","""758,164""","""764,227""","""778,038""","""808,371""","""808,111""","""807,501""","""804,456""","""801,893""","""803,280""","""810,795""","""814,156""","""816,030""","""817,146""","""818,140""","""820,633""","""824,876""","""830,139""","""833,062""","""837,220""","""842,508""","""852,613""","""990,194""","""997,375""","""1,007,535""","""1,016,533""","""1,023,365""","""1,026,961""","""1,027,894""","""1,027,777""","""1,027,819""","""1,028,966""","""1,027,682""","""1,027,949""","""1,027,890""","""1,026,038""","""1,021,150""","""1,011,357""","""996,204""","""977,787""","""949,849""","""941,528""","""937,650""","""936,282""","""939,034""","""943,183""","""947,367""","""952,699""","""957,845""","""961,627""","""962,907""","""962,043""","""961,724""","""961,044""","""961,484""","""963,860""","""966,669""","""973,055""","""987,646""","""1,003,609""","""1,013,704""","""1,019,441""","""1,023,169""","""1,025,057"""
14,서울,강남지역,서남권,"""517,925""","""517,214""","""516,085""","""515,237""","""514,637""","""514,059""","""514,799""","""515,569""","""517,110""","""519,616""","""522,844""","""528,173""","""541,297""","""541,301""","""542,208""","""542,848""","""542,973""","""544,008""","""548,376""","""551,083""","""552,988""","""553,966""","""554,772""","""556,087""","""558,039""","""561,015""","""563,467""","""565,594""","""568,093""","""572,364""","""695,309""","""698,615""","""703,547""","""707,980""","""711,356""","""713,068""","""713,696""","""713,640""","""713,451""","""713,776""","""714,056""","""714,121""","""713,882""","""712,400""","""709,040""","""702,939""","""692,531""","""679,156""","""663,482""","""655,458""","""650,350""","""647,965""","""647,124""","""647,237""","""648,707""","""649,965""","""652,609""","""655,447""","""656,858""","""656,419""","""654,605""","""654,089""","""654,129""","""655,403""","""656,590""","""659,576""","""665,554""","""671,856""","""675,483""","""677,559""","""678,949""","""679,612"""
15,서울,강남지역,동남권,"""1,073,544""","""1,066,283""","""1,060,341""","""1,056,845""","""1,055,388""","""1,055,825""","""1,058,355""","""1,061,116""","""1,064,266""","""1,073,248""","""1,083,054""","""1,108,069""","""1,162,166""","""1,161,558""","""1,158,937""","""1,151,010""","""1,144,888""","""1,146,740""","""1,158,425""","""1,162,652""","""1,164,483""","""1,165,784""","""1,167,027""","""1,171,080""","""1,178,358""","""1,186,649""","""1,190,195""","""1,197,046""","""1,206,027""","""1,223,861""","""1,391,181""","""1,404,174""","""1,421,894""","""1,437,475""","""1,449,274""","""1,455,522""","""1,456,823""","""1,456,489""","""1,456,909""","""1,459,226""","""1,455,387""","""1,455,948""","""1,456,008""","""1,453,514""","""1,446,401""","""1,431,134""","""1,408,938""","""1,382,775""","""1,340,388""","""1,331,797""","""1,329,885""","""1,329,942""","""1,338,096""","""1,348,221""","""1,356,131""","""1,367,331""","""1,376,188""","""1,381,250""","""1,382,212""","""1,380,622""","""1,380,114""","""1,379,170""","""1,380,177""","""1,384,162""","""1,389,244""","""1,400,587""","""1,427,934""","""1,458,199""","""1,477,760""","""1,488,862""","""1,495,939""","""1,499,600"""
16,경기,경기,경기,"""321,123""","""320,685""","""320,162""","""318,906""","""318,095""","""317,727""","""317,840""","""318,329""","""319,308""","""320,445""","""322,121""","""324,727""","""339,326""","""343,013""","""348,405""","""351,492""","""353,060""","""355,696""","""359,814""","""363,078""","""365,968""","""367,774""","""371,120""","""375,491""","""380,443""","""387,452""","""392,619""","""397,362""","""401,463""","""408,926""","""494,840""","""503,553""","""510,588""","""516,697""","""520,257""","""521,652""","""521,595""","""521,183""","""520,535""","""520,206""","""519,706""","""518,950""","""517,842""","""514,863""","""510,321""","""503,602""","""492,539""","""476,638""","""461,904""","""452,603""","""447,330""","""444,522""","""444,190""","""444,972""","""446,742""","""448,878""","""452,001""","""454,557""","""455,466""","""455,019""","""457,770""","""456,753""","""455,905""","""455,768""","""455,744""","""456,835""","""458,689""","""461,426""","""463,846""","""465,063""","""465,753""","""466,105"""
17,경기,경부1권,경부1권,"""515,209""","""513,316""","""511,460""","""508,573""","""506,488""","""505,516""","""505,674""","""506,978""","""509,777""","""513,403""","""517,745""","""524,638""","""552,826""","""556,094""","""562,273""","""566,362""","""568,390""","""570,127""","""575,024""","""579,953""","""583,893""","""587,042""","""591,564""","""597,708""","""605,658""","""616,049""","""623,638""","""631,305""","""640,051""","""653,924""","""797,201""","""811,335""","""821,641""","""830,270""","""834,754""","""836,915""","""836,475""","""835,879""","""835,276""","""835,196""","""835,210""","""834,946""","""834,244""","""830,454""","""824,237""","""814,379""","""794,419""","""767,410""","""750,136""","""736,337""","""728,574""","""724,079""","""724,509""","""727,093""","""732,191""","""736,515""","""742,981""","""748,317""","""751,275""","""750,781""","""754,378""","""751,859""","""749,740""","""748,407""","""748,754""","""753,905""","""760,080""","""767,156""","""773,372""","""776,693""","""778,673""","""780,426"""
18,경기,경부2권,경부2권,"""327,278""","""327,301""","""327,084""","""325,914""","""325,119""","""324,777""","""324,886""","""325,786""","""326,444""","""327,335""","""328,869""","""332,362""","""349,020""","""360,259""","""371,946""","""375,433""","""376,973""","""380,872""","""385,122""","""388,535""","""393,272""","""395,911""","""398,829""","""402,469""","""407,563""","""414,649""","""419,453""","""424,131""","""426,923""","""434,305""","""516,035""","""525,647""","""532,815""","""539,492""","""543,739""","""545,345""","""545,432""","""544,844""","""543,882""","""542,925""","""541,457""","""539,775""","""538,275""","""534,786""","""529,755""","""522,907""","""514,176""","""501,257""","""483,700""","""471,684""","""465,656""","""462,960""","""463,444""","""464,404""","""465,445""","""467,077""","""470,505""","""472,846""","""473,739""","""473,371""","""473,833""","""472,663""","""472,057""","""472,606""","""472,943""","""473,605""","""475,675""","""478,657""","""480,897""","""481,988""","""482,610""","""483,400"""
