날짜,기준금리
2019-07-31,1.4638888888888888
2019-08-31,1.3777777777777778
2019-09-30,1.2944444444444445
2019-10-31,1.2009803921568627
2019-11-30,1.1029411764705883
2019-12-31,1.0016339869281046
2020-01-31,0.9003267973856208
2020-02-29,0.8055555555555556
2020-03-31,0.7013888888888888
2020-04-30,0.5972222222222222
2020-05-31,0.5016483516483516
2020-06-30,0.5181318681318682
2020-07-31,0.5351648351648352
2020-08-31,0.5521978021978022
2020-09-30,0.5686813186813187
2020-10-31,0.5857142857142857
2020-11-30,0.6021978021978022
2020-12-31,0.6192307692307693
2021-01-31,0.6362637362637362
2021-02-28,0.6516483516483517
2021-03-31,0.6686813186813187
2021-04-30,0.6851648351648352
2021-05-31,0.7021978021978021
2021-06-30,0.7186813186813187
2021-07-31,0.7357142857142858
2021-08-31,0.7637362637362637
2021-09-30,0.8461538461538461
2021-10-31,0.9313186813186813
2021-11-30,1.025
2021-12-31,1.18
2022-01-31,1.2972222222222223
2022-02-28,1.375
2022-03-31,1.461111111111111
2022-04-30,1.5952380952380953
2022-05-31,1.8020833333333333
2022-06-30,2.1145833333333335
2022-07-31,2.354651162790698
2022-08-31,2.5625
2022-09-30,2.875
2022-10-31,3.11046511627907
2022-11-30,3.28
2022-12-31,3.435
2023-01-31,3.4929356357927785
2023-02-28,3.4819466248037676
2023-03-31,3.46978021978022
2023-04-30,3.458006279434851
2023-05-31,3.445839874411303
2023-06-30,3.434065934065934
2023-07-31,3.421899529042386
2023-08-31,3.4097331240188384
2023-09-30,3.3979591836734695
2023-10-31,3.3857927786499213
2023-11-30,3.3740188383045524
2023-12-31,3.3618524332810047
2024-01-31,3.349686028257457
2024-02-29,3.338304552590267
2024-03-31,3.326138147566719
2024-04-30,3.31436420722135
2024-05-31,3.302197802197802
2024-06-30,3.290423861852433
2024-07-31,3.2782574568288854
2024-08-31,3.2660910518053377
2024-09-30,3.2543171114599687
2024-10-31,3.1458333333333335
2024-11-30,3.0
