"시도별","연령별",2019,2019,2020,2020,2021,2021,2022,2022,2023,2023,2024,2024
"시도별","연령별",남편(해당연령 천명당 건),아내(해당연령 천명당 건),남편(해당연령 천명당 건),아내(해당연령 천명당 건),남편(해당연령 천명당 건),아내(해당연령 천명당 건),남편(해당연령 천명당 건),아내(해당연령 천명당 건),남편(해당연령 천명당 건),아내(해당연령 천명당 건),남편(해당연령 천명당 건),아내(해당연령 천명당 건)
"대구광역시","15 - 19세",0.3,0.6,0.2,0.5,0.1,0.4,0.1,0.3,0.1,0.2,0.1,0.4
"대구광역시","20 - 24세",2.2,6.8,2.0,6.1,1.7,5.0,1.9,4.8,1.6,4.4,1.4,4.4
"대구광역시","25 - 29세",24.4,51.6,21.4,44.1,17.5,35.0,16.7,33.8,18.8,36.6,21.3,42.1
"대구광역시","30 - 34세",50.7,47.3,44.0,43.3,38.7,39.8,39.5,42.7,41.8,45.5,50.8,56.8
"대구광역시","35 - 39세",22.2,13.6,19.1,12.3,17.1,11.8,19.9,13.1,22.9,14.9,25.8,16.9
"대구광역시","40 - 44세",8.8,5.1,6.7,4.0,6.7,4.5,7.0,4.5,7.7,5.1,8.4,5.0
"대구광역시","45 - 49세",4.4,3.0,3.2,2.5,3.2,2.6,3.4,2.6,3.6,2.4,3.9,2.6
"대구광역시","50 - 54세",3.1,2.5,2.3,2.1,2.2,2.2,2.2,1.9,2.3,2.1,2.3,1.9
"대구광역시","55세이상",1.1,0.7,1.1,0.7,1.0,0.6,1.1,0.7,1.1,0.7,1.1,0.7
"대구광역시","55 - 59세",1.8,1.5,1.8,1.5,1.6,1.4,1.9,1.3,1.9,1.6,2.0,1.5
"대구광역시","60 - 64세",1.4,0.8,1.3,0.8,1.3,0.8,1.2,0.8,1.4,1.0,1.3,0.8
"대구광역시","65 - 69세",0.8,0.5,0.6,0.4,0.5,0.4,0.6,0.6,0.7,0.5,0.7,0.6
"대구광역시","70 - 74세",0.6,0.2,0.7,0.5,0.6,0.3,0.5,0.2,0.6,0.3,0.7,0.4
"대구광역시","75세이상",0.3,0.1,0.5,0.2,0.4,0.1,0.5,0.2,0.4,0.1,0.4,0.1
"인천광역시","15 - 19세",0.2,1.0,0.3,0.8,0.1,0.7,0.2,0.5,0.2,0.4,0.1,0.5
"인천광역시","20 - 24세",3.5,7.9,3.4,7.5,2.9,6.4,2.8,5.9,2.6,5.9,2.8,5.8
"인천광역시","25 - 29세",26.3,45.3,24.0,40.5,22.1,36.2,19.6,32.8,19.8,32.6,22.5,37.0
"인천광역시","30 - 34세",45.6,41.7,40.0,38.6,37.8,37.4,36.1,37.5,38.4,40.0,44.3,47.2
"인천광역시","35 - 39세",20.5,14.1,18.3,13.0,17.7,12.8,19.5,14.1,20.7,15.2,25.6,17.7
"인천광역시","40 - 44세",9.3,6.3,6.9,5.6,7.5,5.5,7.5,5.4,8.7,5.5,8.8,6.0
"인천광역시","45 - 49세",5.4,4.2,4.4,3.6,4.0,3.3,4.3,3.2,4.6,3.5,4.7,3.5
"인천광역시","50 - 54세",4.3,3.5,3.4,3.1,3.3,2.9,3.2,2.8,3.5,3.4,3.2,2.9
"인천광역시","55세이상",2.3,1.3,1.9,1.2,1.6,1.1,1.8,1.2,1.8,1.1,1.9,1.2
"인천광역시","55 - 59세",3.6,2.5,2.7,2.4,2.4,1.9,2.7,2.2,2.8,2.1,2.9,2.3
"인천광역시","60 - 64세",2.4,1.6,2.2,1.5,1.7,1.4,2.1,1.5,2.2,1.6,2.1,1.5
"인천광역시","65 - 69세",1.5,0.9,1.4,0.9,1.1,0.8,1.5,0.9,1.2,0.8,1.5,1.0
"인천광역시","70 - 74세",1.0,0.6,1.2,0.7,1.1,0.7,0.9,0.7,1.0,0.5,1.1,0.8
"인천광역시","75세이상",0.8,0.2,0.8,0.1,0.7,0.2,0.8,0.2,0.8,0.2,0.9,0.2
"광주광역시","15 - 19세",0.3,0.7,0.0,0.6,0.1,0.5,0.1,0.6,0.1,0.6,0.2,0.3
"광주광역시","20 - 24세",2.8,8.0,2.7,5.7,1.8,5.2,2.1,5.2,2.2,5.5,2.1,5.5
"광주광역시","25 - 29세",25.9,47.1,22.8,44.2,19.0,34.9,19.2,34.3,18.7,33.6,20.6,36.0
"광주광역시","30 - 34세",50.5,46.2,46.1,42.2,39.9,39.7,39.2,39.9,41.4,42.7,47.3,50.0
"광주광역시","35 - 39세",24.0,14.6,21.1,12.4,19.2,13.2,20.1,13.9,22.2,14.8,25.4,16.9
"광주광역시","40 - 44세",9.2,5.1,7.6,4.9,7.6,5.0,7.6,4.8,8.6,5.4,9.0,5.2
"광주광역시","45 - 49세",4.9,3.1,4.5,2.9,3.8,2.9,4.2,2.7,4.3,2.7,4.4,2.8
"광주광역시","50 - 54세",3.3,2.8,2.6,2.5,2.9,2.7,2.4,2.2,2.7,2.3,3.1,2.8
"광주광역시","55세이상",1.6,0.9,1.5,0.9,1.4,0.9,1.2,0.8,1.4,0.9,1.3,0.8
"광주광역시","55 - 59세",2.5,1.8,2.3,1.8,2.2,1.8,1.9,1.6,2.4,1.7,2.1,1.5
"광주광역시","60 - 64세",2.2,1.2,1.4,1.1,1.5,1.0,1.5,1.1,1.5,1.1,1.6,1.4
"광주광역시","65 - 69세",1.1,0.5,1.3,0.7,1.3,0.8,1.0,0.5,1.0,0.6,1.3,0.4
"광주광역시","70 - 74세",0.6,0.3,0.8,0.3,0.8,0.3,0.7,0.3,0.9,0.5,0.5,0.4
"광주광역시","75세이상",0.5,0.2,0.7,0.1,0.4,0.1,0.5,0.2,0.6,0.1,0.4,0.1
"대전광역시","15 - 19세",0.3,0.8,0.1,0.7,0.3,0.8,0.3,0.9,0.2,0.8,0.4,0.7
"대전광역시","20 - 24세",3.4,8.9,2.9,6.9,2.5,6.2,2.6,6.2,2.3,5.3,3.2,8.0
"대전광역시","25 - 29세",27.4,51.4,24.0,45.2,21.6,39.2,21.3,38.1,17.5,33.3,28.2,52.9
"대전광역시","30 - 34세",48.2,43.4,46.8,41.6,43.2,42.2,42.1,42.5,37.9,41.2,64.3,68.9
"대전광역시","35 - 39세",21.2,14.5,18.4,13.6,18.1,13.1,20.0,14.7,19.5,14.8,33.9,22.7
