"남편의 연령별","아내의 연령별",2019,2020,2021,2022,2023,2024
"20세","75세이상",0,0,0,0,0,0
"20세","미상",0,0,0,0,0,0
"21세","계",542,476,402,375,307,273
"21세","15세미만",0,0,0,0,0,0
"21세","15세",2,1,0,0,1,0
"21세","16세",3,3,2,0,3,0
"21세","17세",9,4,3,7,2,1
"21세","18세",24,26,17,13,14,9
"21세","19세",63,40,38,31,21,23
"21세","20세",75,73,63,48,49,43
"21세","21세",134,122,110,113,93,61
"21세","22세",89,86,68,53,51,35
"21세","23세",43,30,34,35,18,25
"21세","24세",32,19,19,22,15,15
"21세","25세",24,20,9,13,3,15
"21세","26세",10,10,5,7,7,13
"21세","27세",8,12,8,8,7,6
"21세","28세",5,7,5,4,11,5
"21세","29세",4,4,5,7,4,8
"21세","30세",3,4,4,3,1,3
"21세","31세",2,1,1,2,0,3
"21세","32세",2,2,3,1,2,0
"21세","33세",1,3,0,4,0,1
"21세","34세",1,4,2,1,0,1
"21세","35세",0,2,2,1,1,1
"21세","36세",1,1,1,0,2,0
"21세","37세",1,0,1,2,1,0
"21세","38세",3,1,0,0,0,2
"21세","39세",1,0,0,0,0,2
"21세","40 - 44세",2,1,2,0,1,0
"21세","45 - 49세",0,0,0,0,0,1
"21세","50 - 54세",0,0,0,0,0,0
"21세","55 - 59세",0,0,0,0,0,0
"21세","60 - 64세",0,0,0,0,0,0
"21세","65 - 69세",0,0,0,0,0,0
"21세","70 - 74세",0,0,0,0,0,0
"21세","75세이상",0,0,0,0,0,0
"21세","미상",0,0,0,0,0,0
"22세","계",883,789,724,673,624,581
"22세","15세미만",0,0,0,0,0,0
"22세","15세",0,0,0,0,1,0
"22세","16세",1,1,1,0,3,0
"22세","17세",5,4,3,2,2,3
"22세","18세",28,18,17,13,14,14
"22세","19세",59,47,42,38,40,29
"22세","20세",84,79,68,46,45,58
"22세","21세",140,113,124,104,83,55
"22세","22세",209,182,168,141,154,130
"22세","23세",113,117,111,103,86,94
"22세","24세",67,59,57,55,48,51
"22세","25세",38,52,36,45,47,32
"22세","26세",44,24,29,39,22,30
"22세","27세",21,22,16,21,23,20
"22세","28세",18,19,14,24,11,12
"22세","29세",13,10,14,5,7,12
"22세","30세",8,9,4,9,8,12
"22세","31세",7,4,5,13,8,8
"22세","32세",6,4,5,3,4,5
"22세","33세",6,4,1,2,7,6
"22세","34세",6,6,7,1,4,5
"22세","35세",3,5,0,2,3,1
"22세","36세",1,1,0,1,1,1
"22세","37세",2,2,2,1,1,1
"22세","38세",0,1,0,0,0,1
"22세","39세",1,2,0,2,1,0
"22세","40 - 44세",3,3,0,1,0,0
"22세","45 - 49세",0,0,0,2,1,0
"22세","50 - 54세",0,1,0,0,0,1
"22세","55 - 59세",0,0,0,0,0,0
"22세","60 - 64세",0,0,0,0,0,0
"22세","65 - 69세",0,0,0,0,0,0
"22세","70 - 74세",0,0,0,0,0,0
"22세","75세이상",0,0,0,0,0,0
"22세","미상",0,0,0,0,0,0
"23세","계",1581,1248,1085,1081,978,994
"23세","15세미만",0,0,0,0,0,0
"23세","15세",1,0,0,2,1,1
"23세","16세",1,1,1,1,0,1
"23세","17세",3,5,4,1,2,3
"23세","18세",24,18,12,16,8,14
"23세","19세",59,56,35,32,29,30
"23세","20세",85,76,60,51,43,45
"23세","21세",128,99,88,78,76,69
"23세","22세",233,155,157,151,138,136
"23세","23세",403,291,248,265,233,220
"23세","24세",228,196,164,158,137,147
"23세","25세",117,95,92,88,95,88
"23세","26세",76,73,58,53,52,74
"23세","27세",66,46,47,50,50,47
"23세","28세",46,34,40,36,33,29
"23세","29세",24,18,22,24,24,24
"23세","30세",20,21,17,25,11,9
"23세","31세",13,19,8,10,9,19
"23세","32세",13,9,10,14,11,9
"23세","33세",11,9,5,5,8,8
"23세","34세",8,6,1,4,1,5
"23세","35세",4,4,2,5,1,4
"23세","36세",3,7,3,2,4,2
"23세","37세",5,2,3,1,2,4
"23세","38세",2,3,5,2,0,1
"23세","39세",3,1,0,1,2,1
"23세","40 - 44세",2,3,3,5,8,4
"23세","45 - 49세",3,1,0,0,0,0
"23세","50 - 54세",0,0,0,1,0,0
"23세","55 - 59세",0,0,0,0,0,0
"23세","60 - 64세",0,0,0,0,0,0
"23세","65 - 69세",0,0,0,0,0,0
"23세","70 - 74세",0,0,0,0,0,0
"23세","75세이상",0,0,0,0,0,0
"23세","미상",0,0,0,0,0,0
"24세","계",2559,2163,1810,1738,1629,1605
"24세","15세미만",0,0,0,0,0,0
"24세","15세",0,1,0,0,0,0
"24세","16세",2,0,2,0,1,0
"24세","17세",2,13,3,2,4,4
"24세","18세",21,13,11,12,10,10
"24세","19세",50,62,38,28,22,28
"24세","20세",97,78,59,51,40,49
"24세","21세",126,97,101,85,83,68
"24세","22세",195,174,140,124,135,136
"24세","23세",343,296,236,226,196,177
"24세","24세",625,530,451,453,398,374
"24세","25세",374,315,288,236,244,242
"24세","26세",217,175,143,159,151,155
"24세","27세",150,124,97,106,96,114
"24세","28세",100,81,61,80,67,80
"24세","29세",72,58,50,53,45,45
"24세","30세",46,30,40,30,45,38
"24세","31세",35,32,31,27,29,22
"24세","32세",27,17,19,12,20,19
"24세","33세",19,15,11,18,12,11
"24세","34세",18,12,8,10,6,9
"24세","35세",8,10,9,7,9,4
"24세","36세",11,12,2,3,9,5
"24세","37세",4,5,4,3,3,3
"24세","38세",3,5,1,2,2,2
"24세","39세",3,2,2,3,1,2
"24세","40 - 44세",9,3,2,6,0,7
"24세","45 - 49세",1,1,0,2,0,1
"24세","50 - 54세",1,2,0,0,0,0
"24세","55 - 59세",0,0,0,0,0,0
"24세","60 - 64세",0,0,1,0,0,0
"24세","65 - 69세",0,0,0,0,1,0
